Цена,Ссылка,Место,Кол-во комнат,Площадь,Год строительства
53 000 €,https://profitrealestate.ru/catalog_single/10-ti-etazhnyi-zhk-v-vostochnoi-chasti-raiona-makhmutlar-v-400-metrakh-ot-morya,"Алания, Махмутлар","1+1, 2+1",62-139 м2,2021
82 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-mebelyu-v-350-metrakh-ot-plyazha-oby-alanya,"Алания, Оба",2+1,110 м2,2008
66 000 €,https://profitrealestate.ru/catalog_single/elegantnaya-dvukhkomnatnaya-kvartira-vsego-v-300-metrakh-ot-morya-makhmutlar-alanya-52-m2,"Алания, Махмутлар",1+1,52 м2,2015
89 000 €,https://profitrealestate.ru/catalog_single/apartamenty-planirovki-2-1-ukomplektovannye-mebelyu-v-150-metrakh-ot-plyazha-oba-alanya,"Алания, Оба",2+1,110 м2,2006
154 000 €,https://profitrealestate.ru/catalog_single/stilnaya-trekhkomnatnaya-kvartira-v-prestizhnom-zhilom-komplekse-v-oba-alanya-115-m2,"Алания, Оба",2+1,115 м2,2015
77 000 €,https://profitrealestate.ru/catalog_single/uyutnaya-trekhkomnatnaya-kvartira-v-100-metrakh-ot-morya-v-kestele-alanya-100-m2,"Алания, Кестель",2+1,100 м2,2014
63 000 €,https://profitrealestate.ru/catalog_single/dvukhkomnatnye-apartamenty-na-etape-stroitelstva-v-centre-alani-45-m2,"Алания, Алания центр",1+1,46 м2,2021
41 500 €,https://profitrealestate.ru/catalog_single/byudzhetnaya-kvartira-2-1-s-mebelyu-i-tekhnikoi-v-350-metrakh-ot-morya-makhmutlar-alanya-100-m2,"Алания, Махмутлар",2+1,100 м2,2000
126 500 €,https://profitrealestate.ru/catalog_single/chetyrekhkomnatnye-apartamenty-s-remontom-v-500-metrakh-ot-centra-alani,"Алания, Алания центр",3+1,145 м2,2015
104 500 €,https://profitrealestate.ru/catalog_single/otlichnye-trekhkomnatnye-apartamenty-vsego-v-50-metrakh-ot-sredizemnogo-morya-makhmutlar-alanya,"Алания, Махмутлар",2+1,120 м2,2009
47 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-v-centre-makhmutlara-alanya-90-m2,"Алания, Махмутлар",2+1,90 м2,2000
94 500 €,https://profitrealestate.ru/catalog_single/prostornaya-dvukhkomnatnaya-kvartira-v-stroyashemsya-zhilom-komplekse-grandioznom-po-svoim-masshtabam-makhmutlar-alan-81-m2,"Алания, Махмутлар",1+1,81 м2,2021
121 000 €,https://profitrealestate.ru/catalog_single/otlichnye-chetyryokhkomnatnye-apartamenty-gotovye-k-zaseleniyu-v-250-metrakh-ot-plyazha-kestelya-alanya-110-m2,"Алания, Кестель",3+1,140 м2,2011
60 500 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-na-pervoi-beregovoi-linii-demirtash-alanya-110-m2,"Алания, Демирташ",2+1,110 м2,2010
82 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnyi-dupleks-s-paketom-mebeli-i-tekhniki-vsego-v-100-metrakh-ot-centra-raiona-oba-alanya-120-m2,"Алания, Оба",2+1,120 м2,2010
143 000 €,https://profitrealestate.ru/catalog_single/uyutnyi-trekhkomnatnyi-dupleks-ukomplektovannyi-mebelyu-i-tekhnikoi-vsego-v-150-metrakh-ot-morya-kestel-alanya-110-m2,"Алания, Кестель",2+1,110 м2,2017
95 000 €,https://profitrealestate.ru/catalog_single/trekhkomnatnye-apartamenty-s-otdelnoi-kukhnei-v-zhilom-komplekse-s-bogatoi-infrastrukturoi-dzhikdzhilli-alanya-120-m2,"Алания, Джикджилли",2+1,120 м2,2013
